10.39	92.23	1.22	22.94	7.77
12.47	85.06	1.81	8.15	10.21
--  	9.53	16.36	-9.19	76.39
54.71	46.82	2.11	7.82	50.15
12.01	56.69	1.13	23.01	41.23
--  	48.26	17.11	-29.96	50.77
48.9	31.12	1.34	9.51	67.98
44.53	65.2	2.21	2.29	17.68
49.99	83.06	6.6	4.03	10.35
40.03	67.63	1.69	10.29	31.11
18.72	46.2	1.42	7.1	51.82
--  	53.69	2.13	-12.37	43.56
16.68	75.78	1.2	1.08	20
7526.17	75.3	166.38	0.38	21.21
--  	115.9	-1.07	-471.49	-16.28
16.14	31.12	1.62	4.4	65.9
690.59	44.72	9.5	0.62	55.28
41.48	61.11	2.33	2.7	37.96
25.81	75.06	3.91	4.28	20.18
103.84	34.29	7.96	15.05	61.8
14.67	29.04	1.33	6.52	70.96
10.71	64.14	1.02	10.85	32
15.49	57.15	1.6	2.47	35.76
18.94	35.86	3.11	23.09	66.6
10.06	40.44	1.29	9	52.98
8.81	78.92	1.66	10.91	9.74
48.03	26.97	3.94	8.64	65.37
15.05	84.71	2.44	0.81	15.28
30.33	74.49	1.54	2.99	23.49
7.41	55.39	1.27	27.01	39.02
699.58	39.57	4	1.04	58.84
2531.95	10.55	1.96	0.11	89.58
40.92	66.7	1.02	1.03	22.88
73.72	55.99	0.5	1.15	43.73
5.49	81.63	0.89	24.36	17.33
70.47	60.58	2.72	3.53	39.24
164.17	15.15	1.43	1.03	60.07
6.92	81.27	1.01	145.73	12.58
24.25	76.39	7.27	17.38	20.66
17.2	71.05	3.78	2.7	22.34
20.59	58.56	1.05	4.41	41.44
24.24	53.14	1	7.34	46.39
31.21	54.65	0.91	16.45	41.68
61.53	59.26	4.7	9.9	30.84
7.55	48.55	0.68	3.3	49.24
17.05	45.92	1.35	3.67	51.98
41.4	64.38	1.8	7.79	26.67
22.63	48.67	2.93	4.92	46.61
25.9	74.7	5.18	6.43	23.06
9.66	59.83	1.38	7.48	36.71
187.46	63.61	7.06	2.47	34.6
--  	78	9.24	-72.65	11.5
7.32	76.89	0.94	20.08	17.11
69.34	55.65	3.3	3.12	37.61
19.1	79.98	1.46	1.19	16.03
34.41	24.76	1.59	52.94	65.09
31.14	14.3	1.67	17.08	85.5
29.74	77.45	1.42	4.11	22.32
38.1	5.5	2.09	8.78	93.69
21.91	42.91	1.42	13.7	55
