000090	天健集团	0.58	5.22	0.03	5.22	5.23	53341	1196	0.00	0.29	5.16	
000096	广聚能源	1.50	10.12	0.15	10.12	10.14	9432	106	-0.29	0.18	9.96	
000099	中信海直	1.78	7.45	0.13	7.44	7.45	34080	594	0.00	0.56	7.37	
000100	TCL集团	1.11	3.65	0.04	3.65	3.66	1484180	34618	0.27	1.17	3.61	
000150	宜华健康	2.67	5.39	0.14	5.39	5.40	166305	1146	0.00	2.06	5.26	
000151	中成股份	0.20	9.80	0.02	9.80	9.81	16039	240	-0.09	0.60	9.84	
000153	丰原药业	0.99	6.13	0.06	6.13	6.15	17044	130	-0.32	0.55	6.07	
000155	川能动力	2.30	4.00	0.09	4.00	4.01	61569	1364	0.00	0.48	3.93	
000156	华数传媒	-0.11	9.46	-0.01	9.46	9.47	31850	266	0.32	0.25	9.47	
000157	中联重科	-0.18	5.69	-0.01	5.69	5.70	166641	3081	-0.17	0.27	5.72	
000158	常山北明	0.37	5.43	0.02	5.43	5.44	85258	1731	-0.17	0.52	5.45	
000159	国际实业	0.31	6.57	0.02	6.56	6.57	82195	1831	0.15	1.71	6.61	
000166	申万宏源	0.21	4.81	0.01	4.81	4.82	212108	2162	0.00	0.09	4.80	
000301	东方盛虹	-0.96	5.15	-0.05	5.15	5.16	43577	325	-0.18	0.36	5.19	
000333	美的集团	0.63	51.32	0.32	51.31	51.32	199733	2390	0.10	0.29	51.00	
000338	潍柴动力	0.80	11.33	0.09	11.32	11.33	243428	1620	0.27	0.57	11.25	
000400	许继电气	-1.16	8.51	-0.10	8.51	8.52	52484	1105	-0.11	0.52	8.61	
000401	冀东水泥	-0.46	15.31	-0.07	15.31	15.32	117928	1018	-0.06	0.88	15.38	
000402	金融街	-1.05	7.57	-0.08	7.57	7.58	54642	727	0.26	0.18	7.65	
000403	振兴生化	-1.34	32.34	-0.44	32.34	32.35	11425	131	0.25	0.42	32.01	
000404	长虹华意	0.78	3.88	0.03	3.88	3.89	22661	167	-0.25	0.33	3.86	
000407	胜利股份	0.00	3.42	0.00	3.42	3.43	46275	330	-0.28	0.53	3.41	
000408	藏格控股	0.00	8.56	0.00	8.56	8.57	36017	376	0.00	0.78	8.45	
000409	*ST地矿	0.00	5.68	0.00	5.67	5.68	55480	3147	1.97	1.37	5.68	
000410	*ST沈机	-5.03	6.61	-0.35	--  	6.61	182178	571	0.00	2.46	6.76	
000411	英特集团	4.33	13.25	0.55	13.23	13.25	22309	248	-0.44	1.08	12.67	
000413	东旭光电	6.80	5.81	0.37	5.80	5.81	2574580	37925	0.00	5.29	5.39	
000415	渤海租赁	0.28	3.63	0.01	3.62	3.63	77287	955	0.28	0.22	3.62	
000416	民生控股	0.72	5.59	0.04	5.59	5.60	43118	728	0.00	0.81	5.56	
000417	合肥百货	0.68	4.46	0.03	4.46	4.48	26463	1222	-0.21	0.34	4.45	
000419	通程控股	1.64	4.33	0.07	4.32	4.33	15002	248	0.46	0.28	4.26	
000420	吉林化纤	0.44	2.27	0.01	2.26	2.27	38285	79	0.44	0.21	2.25	
000421	南京公用	0.23	4.31	0.01	4.31	4.32	20692	47	-0.22	0.36	4.31	
000422	*ST宜化	0.35	2.84	0.01	2.83	2.84	35378	166	0.00	0.39	2.83	
000423	东阿阿胶	0.30	30.45	0.09	30.44	30.45	19829	131	0.03	0.30	30.41	
000425	徐工机械	-0.88	4.48	-0.04	4.47	4.48	474717	4664	0.22	0.68	4.52	
000426	兴业矿业	0.18	5.43	0.01	5.42	5.43	102515	2688	0.37	0.79	5.43	
000428	华天酒店	2.33	2.64	0.06	2.63	2.64	13997	835	0.76	0.14	2.58	
000429	粤高速Ａ	0.13	7.67	0.01	7.66	7.67	20094	212	0.00	0.15	7.65	
000430	张家界	0.00	5.41	0.00	5.41	5.42	22086	346	0.37	0.67	5.43	
000488	晨鸣纸业	0.21	4.76	0.01	4.75	4.76	58215	753	0.00	0.35	4.76	
000498	山东路桥	0.63	4.83	0.03	4.83	4.84	27541	692	0.21	0.25	4.81	
000501	鄂武商Ａ	-0.69	10.03	-0.07	10.03	10.04	27290	843	0.10	0.36	10.04	
000502	绿景控股	1.49	6.83	0.10	6.81	6.83	15303	114	0.15	0.83	6.73	
000503	国新健康	2.84	17.72	0.49	17.72	17.73	172394	1585	0.06	1.92	17.25	
000504	*ST生物	-0.46	8.72	-0.04	8.71	8.72	2391	113	0.23	0.08	8.68	
000505	京粮控股	0.55	5.52	0.03	5.51	5.52	23753	680	-0.17	0.58	5.53	
000506	中润资源	1.41	2.88	0.04	2.87	2.88	119828	3362	-0.34	1.29	2.83	
000507	珠海港	1.30	5.45	0.07	5.44	5.45	19344	411	0.18	0.25	5.39	
000509	华塑控股	0.41	2.47	0.01	2.47	2.48	62453	2089	0.00	0.76	2.47	
000510	新金路	0.50	4.01	0.02	4.01	4.02	37192	929	0.25	0.68	3.98	
000513	丽珠集团	0.04	26.25	0.01	26.24	26.25	56995	1013	0.00	0.96	26.21	
000514	渝开发	0.76	3.99	0.03	3.99	4.00	20588	315	-0.24	0.24	3.96	
000516	国际医学	0.21	4.85	0.01	4.85	4.86	62566	185	-0.20	0.32	4.83	
000517	荣安地产	-0.74	2.69	-0.02	2.69	2.70	88924	1276	0.00	0.29	2.71	
000518	四环生物	0.97	3.12	0.03	3.12	3.13	35004	255	-0.31	0.34	3.11	
000519	中兵红箭	-0.24	8.31	-0.02	8.31	8.32	279888	3672	-0.11	3.00	8.29	
000520	长航凤凰	2.49	4.12	0.10	4.12	4.13	94902	2469	0.49	0.94	4.02	
000521	长虹美菱	0.61	3.28	0.02	3.28	3.29	48524	675	0.31	0.60	3.26	
000523	广州浪奇	1.17	5.18	0.06	5.17	5.18	30869	383	-0.18	0.49	5.18	
000524	岭南控股	0.78	7.75	0.06	7.74	7.75	16760	255	0.26	0.62	7.65	
000525	红太阳	0.00	11.09	0.00	11.08	11.09	16108	203	0.00	0.28	10.98	
000526	紫光学大	0.00	26.97	0.00	26.78	26.98	6630	86	0.33	0.69	26.97	
000528	柳工	-0.32	6.20	-0.02	6.20	6.21	81193	2534	-0.15	0.56	6.19	
000529	广弘控股	2.36	6.06	0.14	6.06	6.07	31991	270	0.17	0.56	5.92	
000530	大冷股份	0.48	4.16	0.02	4.15	4.16	27540	429	0.00	0.46	4.13	
000531	穗恒运Ａ	1.38	6.63	0.09	6.63	6.64	23733	295	0.45	0.35	6.54	
000532	华金资本	3.20	9.67	0.30	9.65	9.67	32142	586	0.73	0.94	9.46	
000533	顺钠股份	2.00	2.55	0.05	2.55	2.56	47216	2501	0.39	0.69	2.49	
000534	万泽股份	1.35	10.48	0.14	10.41	10.48	33039	1000	1.26	0.67	10.34	
000536	华映科技	9.92	2.77	0.25	2.77	--  	533339	3409	0.00	2.66	2.53	
000537	广宇发展	0.15	6.48	0.01	6.47	6.48	34757	367	-0.14	0.68	6.47	
000538	云南白药	-0.80	76.46	-0.62	76.45	76.46	25505	378	0.01	0.42	76.35	
000539	粤电力Ａ	0.77	3.94	0.03	3.93	3.94	22820	23	0.00	0.09	3.89	
000540	中天金融	0.29	3.42	0.01	3.41	3.42	121941	1405	0.29	0.19	3.40	
000541	佛山照明	0.00	5.05	0.00	5.05	5.06	31799	452	-0.19	0.30	5.06	
000543	皖能电力	-0.45	4.44	-0.02	4.44	4.45	73936	1127	0.00	0.41	4.48	
000544	中原环保	-0.74	6.67	-0.05	6.67	6.68	60580	1424	-0.14	0.62	6.71	
000545	金浦钛业	1.62	3.14	0.05	3.13	3.14	39252	659	0.00	0.41	3.09	
